team,alpha,beta
Algeria,-0.07993578371586374,-0.11579377355058476
Argentina,0.4520877040406582,0.63296788914918
Australia,-0.11496649333491883,0.06989636439491394
Austria,0.012407848491745902,0.022916277862553604
Belgium,0.3669344570288253,0.2081371432039837
Bosnia and Herzegovina,-0.25417169206619145,-0.1728980044837118
Brazil,0.42727797875934465,0.12518288518577075
Canada,0.3312041854540611,0.24167164754165898
Cape Verde,-0.3408808189170664,-0.399348502470181
Colombia,0.37225111616513545,0.10402846488904832
Croatia,0.1895864559113177,0.11138269399085213
Curacao,-0.784974356706306,-0.620078938877972
Czech Republic,0.013023158333303683,-0.13235895619544857
DR Congo,-0.4657034030470319,0.09628391209984583
Ecuador,0.0765738440783546,0.7389208872210646
Egypt,-0.13369399632016343,0.15170280471802505
England,0.4808983724640931,0.5427920212339735
France,0.3276163587613303,0.18288548047183567
Germany,0.5696472907038855,0.20834512134682315
Ghana,-0.3721261007233475,-0.2631711778463073
Haiti,-0.5564047890054823,-0.6706897441712986
Iran,0.09011961104892245,0.06864936308598364
Iraq,-0.6195635336454717,-0.37658587028712365
Ivory Coast,-0.24072335673177125,0.05228950896589557
Japan,0.2363791286938768,0.1873133279787483
Jordan,-0.38373491498687134,-0.5409152472908344
Mexico,0.3223918804177304,0.3446992987793182
Morocco,0.13933114923545276,0.6003493170676035
Netherlands,0.38971170204010736,0.07502277038676564
New Zealand,-0.5079745029994737,-0.24387487976622368
Norway,0.38741913966941033,-0.01963269397866374
Panama,-0.25072714260666645,-0.43863512242390207
Paraguay,-0.06878666137388822,0.17680301451491143
Portugal,0.3911329004319075,0.06283324928465725
Qatar,-0.4038055033694834,-0.5356080521901694
Saudi Arabia,-0.5723437420797984,-0.32305833467228395
Scotland,0.018018606391643398,-0.08306540346304842
Senegal,0.07946144425101186,0.03839967475765314
South Africa,-0.22895251608401904,-0.18700024257611028
South Korea,-0.06758131879777436,-0.06422130387696072
Spain,0.7790184935164011,0.3482299788896797
Sweden,0.04984161409681681,-0.3473171944421459
Switzerland,0.5108329506118551,0.28277446850209303
Tunisia,-0.44913330646697425,-0.14181804228714798
Turkey,0.15642733874107664,-0.07460741785575367
United States,0.13546355048287034,-0.2802296955691866
Uruguay,0.09694734353421369,0.4114355821989946
Uzbekistan,-0.5058216485594016,-0.05500459126416343
