team,p_1st,p_2nd,p_3rd,p_advance,p_r16,p_qf,p_sf,p_final,p_champ
Argentina,0.88388,0.11286,0.00312,0.99974,0.76914,0.6179,0.47558,0.29872,0.19214
Germany,0.72672,0.1861,0.08646,0.99846,0.75826,0.48894,0.33112,0.2093,0.11996
Spain,0.68742,0.20814,0.0832,0.95788,0.6271,0.38282,0.2798,0.1553,0.09184
England,0.73076,0.22062,0.04086,0.98632,0.71988,0.4132,0.24156,0.13878,0.07518
France,0.6617,0.3124,0.02506,0.99764,0.62212,0.29488,0.18,0.10144,0.05124
Brazil,0.50388,0.31532,0.16216,0.96498,0.57516,0.3394,0.1824,0.10082,0.04756
Morocco,0.335,0.44096,0.19834,0.94576,0.53942,0.30974,0.16756,0.09208,0.04646
Mexico,0.75548,0.19254,0.04978,0.99448,0.5847,0.32204,0.1492,0.07706,0.03582
Switzerland,0.50136,0.2568,0.1735,0.86578,0.55616,0.3399,0.13728,0.06736,0.03198
Colombia,0.51966,0.31666,0.11954,0.9275,0.62054,0.32252,0.14608,0.0636,0.02956
Portugal,0.38628,0.3909,0.15792,0.89624,0.58526,0.30922,0.15028,0.06552,0.02954
Belgium,0.57686,0.25274,0.11768,0.92372,0.60036,0.30316,0.13496,0.05686,0.02774
Netherlands,0.4583,0.3312,0.17508,0.93876,0.46798,0.26132,0.11772,0.06092,0.02612
Ecuador,0.02108,0.23348,0.6851,0.78764,0.41988,0.21936,0.11036,0.05392,0.02436
Croatia,0.22954,0.54698,0.17192,0.89862,0.47766,0.2306,0.12332,0.05346,0.02344
Norway,0.32578,0.51708,0.155,0.98068,0.49756,0.21018,0.11012,0.05288,0.02188
Canada,0.31788,0.34186,0.22832,0.81962,0.45642,0.25218,0.0934,0.04262,0.0184
Uruguay,0.21804,0.38858,0.27184,0.7528,0.29052,0.14962,0.08156,0.0335,0.01412
Japan,0.32012,0.3998,0.22864,0.90924,0.38654,0.19406,0.07812,0.03356,0.01312
Australia,0.5041,0.32664,0.14618,0.96368,0.53882,0.2365,0.08852,0.03052,0.0113
Ivory Coast,0.25176,0.57072,0.174,0.97866,0.4789,0.19196,0.08354,0.0349,0.0112
Austria,0.1128,0.7068,0.17728,0.9586,0.33096,0.13938,0.0689,0.02328,0.00842
South Korea,0.21156,0.5842,0.17396,0.93364,0.431,0.18,0.05692,0.0225,0.00734
Scotland,0.15952,0.23776,0.58662,0.84272,0.30488,0.12112,0.04902,0.0194,0.00642
United States,0.42134,0.34462,0.19798,0.9459,0.48402,0.17938,0.05654,0.01752,0.0059
Egypt,0.20638,0.3989,0.24174,0.78244,0.37176,0.13302,0.04926,0.01654,0.00536
Sweden,0.21516,0.25906,0.50754,0.9313,0.322,0.13534,0.04024,0.01322,0.00396
Paraguay,0.03978,0.16564,0.35672,0.4707,0.2026,0.07136,0.02658,0.00842,0.00294
Czech Republic,0.02708,0.12904,0.51456,0.47866,0.15148,0.06092,0.02118,0.00874,0.0029
Senegal,0.01182,0.16226,0.6801,0.58798,0.20138,0.07492,0.02512,0.00862,0.0028
Iran,0.17196,0.23864,0.37428,0.5779,0.26066,0.09284,0.03088,0.00896,0.00278
Bosnia and Herzegovina,0.11886,0.22324,0.31602,0.56496,0.22264,0.09214,0.02494,0.00836,0.00262
Turkey,0.03478,0.1631,0.29912,0.39336,0.16192,0.0478,0.01598,0.00472,0.00158
DR Congo,0.06078,0.17696,0.4131,0.47298,0.16514,0.05562,0.01778,0.0048,0.0013
Algeria,0.00282,0.17132,0.58526,0.47638,0.12284,0.03978,0.011,0.00286,0.00086
Uzbekistan,0.03328,0.11548,0.30944,0.31286,0.09508,0.02768,0.00768,0.0019,0.00054
Ghana,0.025,0.13858,0.45224,0.39606,0.09326,0.02338,0.00584,0.00124,0.00032
South Africa,0.00588,0.09422,0.2617,0.23928,0.0659,0.0208,0.00528,0.00158,0.0003
Qatar,0.0619,0.1781,0.28216,0.41862,0.11524,0.03318,0.00536,0.00108,0.00022
Saudi Arabia,0.0505,0.17984,0.33654,0.44526,0.07372,0.0186,0.00532,0.00082,0.00016
New Zealand,0.0448,0.10972,0.2663,0.2756,0.07462,0.01662,0.00312,0.0006,0.00012
Cape Verde,0.04404,0.22344,0.30842,0.45394,0.07434,0.02216,0.00604,0.001,0.0001
Panama,0.0147,0.09382,0.33498,0.26502,0.0552,0.0129,0.00276,0.00046,8e-05
Jordan,0.0005,0.00902,0.23434,0.08826,0.01396,0.00364,0.00048,8e-05,2e-05
Iraq,0.0007,0.00826,0.13984,0.06342,0.00962,0.00198,0.00036,6e-05,0.0
Tunisia,0.00642,0.00994,0.08874,0.06522,0.01534,0.00478,0.00076,0.0001,0.0
Haiti,0.0016,0.00596,0.05288,0.0409,0.00408,0.00058,0.0001,2e-05,0.0
Curacao,0.00044,0.0097,0.05444,0.02984,0.00398,0.00058,8e-05,0.0,0.0
